question,A,B,C,D,answer,file
What is the recommended method for importing a model into DSS?,Manually creating an archive,Importing a model previously exported by DSS,Downloading directly from the internet,Using a third-party software,B,../data/dataiku\generative-ai\model-cache.md
Which of the following is required for fine-tuning a pre-trained model in the LLM Mesh?,A dataset with a prompt column and a completion column without missing values.,A dataset with a prompt column and a system message column without missing values.,A dataset with a completion column and a system message column without missing values.,A dataset with a prompt column and a completion column with missing values.,A,../data/dataiku\generative-ai\model-fine-tuning.md
What is strongly advised to use when fine-tuning Huggingface models?,A CPU,A GPU,A TPU,A VPU,B,../data/dataiku\generative-ai\model-fine-tuning.md
Which add-on is required to access the LLM fine-tuning recipe?,Basic LLM Mesh,Intermediate LLM Mesh,Advanced LLM Mesh,Premium LLM Mesh,C,../data/dataiku\generative-ai\model-fine-tuning.md
Which of the following providers support multimodal input with images in the LLM Mesh?,OpenAI (GPT-4o),Google Vertex (Imagen 1 and Imagen 2),Stability AI (Stable Diffusion 3.0),Bedrock Titan Image Generator,A,../data/dataiku\generative-ai\multimodal.md
Which of the following providers support image generation in the LLM Mesh?,OpenAI (DALL-E 3),Azure OpenAI (GPT-4o),Vertex Gemini Pro,Bedrock Claude 3,A,../data/dataiku\generative-ai\multimodal.md
In which phase is the image output feature currently available?,General Availability,Beta,Private Preview,Public Preview,C,../data/dataiku\generative-ai\multimodal.md
Which of the following packages is NOT required to set up the PII detection code environment?,presidio_anonymizer,presidio_analyzer,langdetect,numpy,D,../data/dataiku\generative-ai\pii-detection.md
Which of the following is NOT a recognized generic entity type for PII detection?,CREDIT_CARD,EMAIL_ADDRESS,US_SSN,IP_ADDRESS,C,../data/dataiku\generative-ai\pii-detection.md
What is the purpose of the 'Replace PII by a placeholder' option in PII detection?,To reject queries where PII is detected,To replace PII with a placeholder like '<PERSON>',To replace PII with a hash value,To remove PII entirely,B,../data/dataiku\generative-ai\pii-detection.md
What is the primary purpose of the Prompt Studio in Dataiku?,To develop and test machine learning models.,To create and iterate on prompts for large-scale batch generation.,To manage databases and data connections.,To visualize data through dashboards.,B,../data/dataiku\generative-ai\prompt-studio.md
Which feature is NOT mentioned as part of the Prompt Studio's capabilities?,Testing and iterating on prompts.,Comparing various LLMs.,Deploying prompts as Prompt Recipes.,Creating data visualizations.,D,../data/dataiku\generative-ai\prompt-studio.md
What is the primary purpose of Retrieval-Augmented Generation (RAG) in Dataiku?,To generate random text,To give standard LLMs the knowledge of a specific business problem,To create visualizations,To manage databases,B,../data/dataiku\generative-ai\rag.md
Which of the following is NOT a supported connection type for embedding LLMs in Dataiku?,OpenAI,Azure OpenAI,Google Cloud AI,AWS Bedrock,C,../data/dataiku\generative-ai\rag.md
What is the default Vector Store used for creating Knowledge Banks in Dataiku?,Chroma,FAISS,Pinecone,SQLite,B,../data/dataiku\generative-ai\rag.md
Which of the following geographic data types can Dataiku DSS natively read and write?,GeoJSON files,ESRI Shapefiles,Snowflake GEOGRAPHY data type,KML/KMZ files,C,../data/dataiku\geographic\data.md
What additional step is required to read KML/KMZ files in Dataiku DSS?,Install the KML Format extractor plugin,Convert KML/KMZ files to GeoJSON,Enable geographic data processing in settings,No additional steps are required,A,../data/dataiku\geographic\data.md
Which of the following providers is optimal for geocoding in China?,ArcGIS,Bing,Baidu,Google,C,../data/dataiku\geographic\geocoding.md
What is required for most online geocoding service providers?,API key,Local server,Offline access,No special requirements,A,../data/dataiku\geographic\geocoding.md
Which of the following is true about the bundled-data city-level reverse geocoder?,It requires an API key,It uses external providers,It is fast and does not need any external provider,It provides address-level resolution,C,../data/dataiku\geographic\geocoding.md
Which of the following is NOT a geography-related function in the DSS Formula Language?,geoBuffer,geoContains,geoWithin,geoTransform,D,../data/dataiku\geographic\geoformula.md
Which of the following join types is NOT available in the Geo join visual recipe?,INNER,LEFT,RIGHT,OUTER,D,../data/dataiku\geographic\geojoin.md
What is the primary purpose of the Geo join visual recipe?,To perform a join between datasets based on geospatial matching conditions.,To visualize geospatial data on a map.,To clean and preprocess geospatial data.,To perform statistical analysis on geospatial data.,A,../data/dataiku\geographic\geojoin.md
What is the primary function of the Geo Router plugin in Dataiku DSS?,To compute statistical tests.,To perform data cleaning.,To compute itineraries and isochrones.,To generate reports.,C,../data/dataiku\geographic\georouting.md
Which of the following is NOT a required input for computing isochrones using the Geo Router plugin?,A dataset with a geopoint column.,The travel time.,The transport mode.,The travel distance.,D,../data/dataiku\geographic\georouting.md
Where is the georouting cache stored in a UIF setup for DSS?,In the home directory of the UNIX user that runs DSS.,In the associated UNIX user’s home directory.,In the DSS installation directory.,In the Dataiku cloud storage.,B,../data/dataiku\geographic\georouting.md
Which of the following workshops is recommended for learning how to create maps in Dataiku DSS?,Introduction to Geospatial Analytics,Creating Maps,Geographic Data Preparation,Working with Shapefiles,B,../data/dataiku\geographic\index.md
What feature of Dataiku DSS allows you to combine datasets based on geographic location?,Geocoding,Georouting,Geo join,Geographic formula functions,C,../data/dataiku\geographic\index.md
Which processor in Dataiku DSS is used to convert an IP address to geographic coordinates?,Geopoint converters,Resolve GeoIP,Reverse geocoding,Zipcode geocoding,B,../data/dataiku\geographic\preparation.md
What is the default Coordinates Reference System (CRS) used by Dataiku DSS when processing geometries?,EPSG:3857,EPSG:4326,EPSG:32633,EPSG:27700,B,../data/dataiku\geographic\preparation.md
Which processor in Dataiku DSS can create polygons centered on input geopoints?,Compute distances between points,Change coordinates system,Create area around a geopoint,Extract from geo column,C,../data/dataiku\geographic\preparation.md
Which of the following geographic data types is supported by DSS?,Geopoint,Geoshape,Geoline,Geocircle,A,../data/dataiku\geographic\types.md
What does the 'Change CRS processor' in DSS allow you to do?,Change the data type of a column,Change the coordinate reference system of a geographic column,Convert geographic data to 3D,Merge multiple geographic columns,B,../data/dataiku\geographic\types.md
Which of the following methods can be used to preview geographic data in Dataiku DSS?,Right-clicking on any cell and clicking on the 'Preview' option,Using the keyboard shortcut 'shift + v' on geographic cells,Double-clicking on the cell,Both A and B,D,../data/dataiku\geographic\visualization.md
